,name,title_english,title_japanese,type,source,producers,genre,studio,episodes,duration,rating,score,scored_by,rank,popularity,favorites,broadcast,premiered_season,premiered_year
105,Hunter x Hunter,Hunter x Hunter,HUNTER×HUNTER（ハンター×ハンター）,TV,Manga,Fuji TV,Action,Nippon Animation,62.0,23 min per ep,PG-13 - Teens 13 or older,8.47,126542.0,123.0,316.0,6423.0,Saturdays at 18:00 (JST),Fall,1999
109,Kamikaze Kaitou Jeanne,Kamikaze Phantom Thief Jeanne,神風怪盗ジャンヌ,TV,Manga,,Demons,Toei Animation,44.0,24 min per ep,PG-13 - Teens 13 or older,7.52,19874.0,1603.0,1993.0,417.0,Unknown,Winter,1999
110,Kannazuki no Miko,Destiny of the Shrine Maiden,神無月の巫女,TV,Manga,Studio Fantasia,Romance,TNK,12.0,24 min per ep,PG-13 - Teens 13 or older,6.98,22861.0,3736.0,1619.0,714.0,Unknown,Fall,2004
111,Kanon,Canon,カノン,TV,Visual novel,Movic,Romance,Toei Animation,13.0,24 min per ep,G - All Ages,7.2,20807.0,2861.0,1699.0,245.0,Unknown,Winter,2002
112,Kareshi Kanojo no Jijou,His and Her Circumstances,彼氏彼女の事情,TV,Manga,TV Tokyo,Shoujo,Gainax,26.0,24 min per ep,PG-13 - Teens 13 or older,7.64,50253.0,1261.0,727.0,1611.0,Fridays at 18:30 (JST),Fall,1998
113,Kono Minikuku mo Utsukushii Sekai,This Ugly Yet Beautiful World,この醜くも美しい世界,TV,Original,Geneon Universal Entertainment,Drama,Gainax,12.0,24 min per ep,R+ - Mild Nudity,6.85,23719.0,4209.0,1709.0,171.0,Fridays at 00:30 (JST),Spring,2004
114,Kita e.: Diamond Dust Drops,Diamond Daydreams,北へ。 ～Diamond Dust Drops～,TV,Visual novel,,Romance,Studio Deen,12.0,24 min per ep,PG-13 - Teens 13 or older,6.7,1991.0,4889.0,4624.0,8.0,Unknown,Winter,2004
115,Loveless,Loveless,LOVELESS,TV,Manga,Bandai Visual,Drama,J.C.Staff,12.0,24 min per ep,PG-13 - Teens 13 or older,7.08,52430.0,3358.0,942.0,1589.0,Unknown,Spring,2005
116,Blood+,Blood+,ブラッドプラス,TV,Original,Aniplex,Drama,Production I.G,50.0,24 min per ep,R - 17+ (violence & profanity),7.75,112413.0,982.0,302.0,4222.0,Saturdays at 18:00 (JST),Fall,2005
118,Solty Rei,Salty Ray,ソルティレイ,TV,Original,AIC,Super Power,Gonzo,24.0,23 min per ep,R - 17+ (violence & profanity),7.33,9430.0,2367.0,2732.0,115.0,Fridays at 02:40 (JST),Fall,2005
119,Juuni Kokuki,The Twelve Kingdoms,十二国記,TV,Novel,Sogo Vision,Magic,Studio Pierrot,45.0,25 min per ep,PG-13 - Teens 13 or older,8.12,30208.0,422.0,1060.0,1985.0,Unknown,Spring,2002
120,Shaman King,Shaman King,シャーマンキング,TV,Manga,TV Tokyo,Adventure,Xebec,64.0,23 min per ep,PG-13 - Teens 13 or older,7.83,127151.0,852.0,366.0,3011.0,Wednesdays at 18:30 (JST),Summer,2001
122,X,X,X−エックス−,TV,Manga,Bandai Visual,Drama,Madhouse,24.0,24 min per ep,R+ - Mild Nudity,7.51,27469.0,1653.0,1468.0,734.0,Wednesdays at 18:30 (JST),Fall,2001
123,Mahou Sensei Negima!,Negima!,魔法先生 ネギま！,TV,Manga,Starchild Records,School,Xebec,26.0,23 min per ep,PG-13 - Teens 13 or older,7.06,47384.0,3437.0,952.0,572.0,Thursdays at 01:00 (JST),Winter,2005
124,Maria-sama ga Miteru,Maria Watches Over Us,マリア様がみてる,TV,Light novel,Rondo Robe,Drama,Studio Deen,13.0,24 min per ep,PG-13 - Teens 13 or older,7.43,14842.0,1923.0,1859.0,594.0,Thursdays at Unknown,Winter,2004
125,Boukyaku no Senritsu,The Melody of Oblivion,忘却の旋律,TV,Manga,Kadokawa Shoten,Horror,Gainax,24.0,23 min per ep,PG-13 - Teens 13 or older,6.39,4749.0,6225.0,3370.0,44.0,Wednesdays at 02:54 (JST),Spring,2004
126,"Ima, Soko ni Iru Boku","Now and Then, Here and There",今、そこにいる僕,TV,Original,Victor Entertainment,Drama,AIC,13.0,25 min per ep,R - 17+ (violence & profanity),7.73,26652.0,1038.0,1128.0,838.0,Thursdays at 19:00 (JST),Fall,1999
127,Peace Maker Kurogane,Peace Maker Kurogane,PEACE MAKER 鐵,TV,Manga,GDH,Action,Gonzo,24.0,24 min per ep,R - 17+ (violence & profanity),7.39,18076.0,2118.0,1876.0,299.0,Unknown,Fall,2003
128,Pita Ten,Pita-Ten,ぴたテン,TV,Manga,Broccoli,Romance,Madhouse,26.0,24 min per ep,G - All Ages,7.03,8022.0,3564.0,3025.0,96.0,Sundays at 09:30 (JST),Spring,2002
129,Power Stone,Power stone,パワーストーン,TV,Game,Avex Entertainment,Adventure,Studio Pierrot,26.0,20 min per ep,PG - Children,6.53,2631.0,5673.0,5105.0,17.0,Saturdays at 17:00 (JST),Spring,1999
131,RahXephon,RahXephon,ラーゼフォン,TV,Original,Asatsu DK,Music,Bones,26.0,23 min per ep,PG-13 - Teens 13 or older,7.49,32471.0,1709.0,1108.0,862.0,Mondays at 16:25 (JST),Winter,2002
132,Samurai 7,Samurai 7,サムライセブン,TV,Other,GDH,Historical,Gonzo,26.0,26 min per ep,PG-13 - Teens 13 or older,7.56,45991.0,1492.0,1036.0,667.0,Unknown,Summer,2004
133,Scrapped Princess,Scrapped Princess,スクラップド・プリンセス,TV,Light novel,Kadokawa Shoten,Comedy,Bones,24.0,23 min per ep,PG-13 - Teens 13 or older,7.47,29989.0,1782.0,1284.0,417.0,Tuesdays at 18:00 (JST),Spring,2003
134,s.CRY.ed,s-CRY-ed,スクライド,TV,Original,Yomiko Advertising,Action,Sunrise,26.0,24 min per ep,PG-13 - Teens 13 or older,7.43,30526.0,1935.0,1429.0,615.0,Wednesdays at 18:00 (JST),Summer,2001
135,Shingetsutan Tsukihime,Lunar Legend Tsukihime,真月譚 月姫,TV,Visual novel,TBS,Action,J.C.Staff,12.0,24 min per ep,R - 17+ (violence & profanity),7.02,53265.0,3610.0,846.0,590.0,Unknown,Fall,2003
136,Slam Dunk,Slam Dunk,スラムダンク,TV,Manga,TV Asahi,Shounen,Toei Animation,101.0,23 min per ep,PG-13 - Teens 13 or older,8.54,60029.0,92.0,751.0,3750.0,Unknown,Fall,1993
